MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316007654,2020-06-01T00:00:14,49.31736,-123.40011,2.0,115.9,138.0,GRANNY HUTCH,,,31.0,0.0,14.0,6.0,0.4,31.0,A
367661920,2020-06-01T00:00:07,49.34569,-123.28806,8.0,152.9,511.0,WARRIOR WON,,WDH8831,37.0,,13.0,,,,B
258954000,2020-06-01T00:00:15,49.32591,-123.27967,8.7,339.5,337.0,STAR HERDLA,IMO9071557,LAVD4,70.0,0.0,197.0,31.0,12.3,,A
316031305,2020-06-01T00:00:26,49.33933,-123.43887,6.1,0.2,349.0,RAVEN'S WING,,,36.0,,,,,,B
316026718,2020-06-01T00:00:05,49.35638,-123.28535,0.1,218.1,511.0,VITAL SPARK,,,51.0,,8.0,,,,B
316001247,2020-06-01T00:00:13,49.38496,-123.30358,9.6,266.7,264.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316007654,2020-06-01T00:00:05,49.3174,-123.40024,2.0,112.6,139.0,GRANNY HUTCH,,,31.0,0.0,14.0,6.0,0.4,31.0,A
316020789,2020-06-01T00:00:03,49.35578,-123.27312,0.0,295.9,511.0,WINESK,IMO0000000,,37.0,,20.0,6.0,,,B
316027506,2020-06-01T00:01:15,49.35306,-123.29266,4.6,134.3,511.0,RAMBUNXIOUS,,,36.0,,11.0,,,,B
367661920,2020-06-01T00:00:07,49.34569,-123.28806,8.0,152.9,511.0,WARRIOR WON,,WDH8831,37.0,,13.0,,,,B
316007654,2020-06-01T00:01:14,49.31705,-123.3994,2.0,121.1,139.0,GRANNY HUTCH,,,31.0,0.0,14.0,6.0,0.4,31.0,A
316001247,2020-06-01T00:00:03,49.38499,-123.3029,9.6,266.1,264.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316020789,2020-06-01T00:00:03,49.35578,-123.27312,0.0,295.9,511.0,WINESK,IMO0000000,,37.0,,20.0,6.0,,,B
316001247,2020-06-01T00:01:12,49.38481,-123.30758,9.5,263.7,258.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316026718,2020-06-01T00:01:08,49.35639,-123.28543,0.3,3.1,511.0,VITAL SPARK,,,51.0,,8.0,,,,B
316001262,2020-06-01T00:00:27,49.43684,-123.46389,9.8,279.1,282.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
258954000,2020-06-01T00:01:15,49.32826,-123.28109,9.3,338.6,338.0,STAR HERDLA,IMO9071557,LAVD4,70.0,0.0,197.0,31.0,12.3,,A
258954000,2020-06-01T00:00:04,49.32549,-123.27943,8.6,338.4,338.0,STAR HERDLA,IMO9071557,LAVD4,70.0,0.0,197.0,31.0,12.3,,A
316008039,2020-06-01T00:02:44,49.35587,-123.27311,0.0,63.1,511.0,WINESK,,VG9188,37.0,,12.0,4.0,2.2,,B
316001262,2020-06-01T00:01:32,49.43608,-123.4681,8.3,244.0,245.0,QUEEN OF SURREY,IMO7902221,VG8177,60.0,0.0,139.0,27.0,5.5,,A
316007654,2020-06-01T00:02:24,49.31673,-123.39855,2.0,127.1,141.0,GRANNY HUTCH,,,31.0,0.0,14.0,6.0,0.4,31.0,A
316027057,2020-06-01T00:00:45,49.37888,-123.33281,0.0,358.9,511.0,CHINOOK,,CFK5228,37.0,,,,,,B
258954000,2020-06-01T00:02:23,49.33111,-123.28279,9.8,337.7,335.0,STAR HERDLA,IMO9071557,LAVD4,70.0,0.0,197.0,31.0,12.3,,A
316027506,2020-06-01T00:02:45,49.35184,-123.29024,4.7,121.6,511.0,RAMBUNXIOUS,,,36.0,,11.0,,,,B
316017005,2020-06-01T00:01:12,49.37816,-123.33294,0.0,111.7,511.0,WIDGEON I,,,37.0,,,,,,B
367661920,2020-06-01T00:02:37,49.34087,-123.28386,8.2,147.9,511.0,WARRIOR WON,,WDH8831,37.0,,13.0,,,,B
316001247,2020-06-01T00:02:33,49.38402,-123.31297,9.6,251.6,248.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
316021258,2020-06-01T00:03:18,49.37619,-123.27373,0.0,352.0,511.0,AUXILIARY 1,,,51.0,,,,,,B
258954000,2020-06-01T00:03:34,49.33416,-123.28478,10.3,336.4,334.0,STAR HERDLA,IMO9071557,LAVD4,70.0,0.0,197.0,31.0,12.3,,A
316007654,2020-06-01T00:03:35,49.31635,-123.39772,2.0,120.9,140.0,GRANNY HUTCH,,,31.0,0.0,14.0,6.0,0.4,31.0,A
316007654,2020-06-01T00:04:45,49.31606,-123.39685,2.0,120.9,139.0,GRANNY HUTCH,,,31.0,0.0,14.0,6.0,0.4,31.0,A
316001247,2020-06-01T00:04:03,49.38253,-123.31871,9.6,245.2,243.0,QUEEN OF CAPILANO,IMO9008354,VY9513,60.0,0.0,96.0,21.0,3.6,,A
367661920,2020-06-01T00:04:06,49.33797,-123.28115,8.3,147.6,511.0,WARRIOR WON,,WDH8831,37.0,,13.0,,,,B
316037287,2020-06-01T00:05:40,49.35636,-123.27148,0.0,356.4,511.0,SLIM SMITTY,IMO0000000,,37.0,,18.0,5.0,,,B
316008039,2020-06-01T00:05:44,49.35585,-123.27309,0.0,0.0,511.0,WINESK,,VG9188,37.0,,12.0,4.0,2.2,,B
