,MMSI,BaseDateTime,LAT,LON,SOG,COG
372,316021258,2019-01-01T02:47:18,49.37619,-123.27371,0.0,360.0
431,316021258,2019-01-01T03:08:10,49.37677,-123.2726,4.6,23.6
450,316021258,2019-01-01T03:11:40,49.38244,-123.2725,12.5,306.0
456,316021258,2019-01-01T03:14:40,49.36923,-123.29726,31.6,181.9
472,316021258,2019-01-01T03:19:10,49.33361,-123.27825,30.6,142.9
478,316021258,2019-01-01T03:16:40,49.35233,-123.29228,30.2,161.0
1094,316021258,2019-01-01T08:59:24,49.3298,-123.27632,30.5,306.0
1095,316021258,2019-01-01T09:00:55,49.33921,-123.28903,29.8,325.1
1097,316021258,2019-01-01T09:02:24,49.35002,-123.29779,29.8,332.5
1100,316021258,2019-01-01T09:04:55,49.36988,-123.30193,29.4,26.6
1102,316021258,2019-01-01T09:06:24,49.38075,-123.29311,29.9,27.7
1104,316021258,2019-01-01T09:10:57,49.37665,-123.27328,2.8,228.5
1105,316021258,2019-01-01T09:12:24,49.3762,-123.27367,0.8,145.1
1107,316021258,2019-01-01T09:13:25,49.3762,-123.27367,0.1,160.6
