,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
0,15,316001262,2020-06-01 00:00:27,49.43684,-123.46389,9.8,279.1
1,19,316001262,2020-06-01 00:01:32,49.43608,-123.4681,8.3,244.0
2,152,316001262,2020-06-01 00:35:55,49.43767,-123.46903,8.9,57.2
3,160,316001262,2020-06-01 00:36:59,49.43729,-123.46504,10.1,125.3
4,164,316001262,2020-06-01 00:38:08,49.43395,-123.46003,17.2,138.6
14,240,316001262,2020-06-01 00:39:15,49.42953,-123.45419,19.6,138.5
5,172,316001262,2020-06-01 00:40:19,49.42551,-123.44761,19.8,124.4
6,177,316001262,2020-06-01 00:41:20,49.42377,-123.43943,19.8,97.4
19,254,316001262,2020-06-01 00:42:21,49.42339,-123.43085,20.3,94.4
7,186,316001262,2020-06-01 00:43:27,49.42298,-123.42126,20.6,93.2
8,192,316001262,2020-06-01 00:44:38,49.4226,-123.41074,20.6,93.1
15,244,316001262,2020-06-01 00:46:09,49.42214,-123.39744,20.6,93.0
9,201,316001262,2020-06-01 00:47:27,49.42221,-123.38616,20.3,87.9
10,203,316001262,2020-06-01 00:49:02,49.42257,-123.37245,20.3,87.7
29,301,316001262,2020-06-01 00:50:03,49.42308,-123.36389,20.1,79.7
30,303,316001262,2020-06-01 00:51:09,49.42438,-123.35458,20.4,77.7
17,251,316001262,2020-06-01 00:52:27,49.42591,-123.34344,20.6,78.2
18,253,316001262,2020-06-01 00:53:39,49.42732,-123.33301,20.5,78.3
11,219,316001262,2020-06-01 00:54:51,49.42853,-123.32288,20.4,82.7
23,269,316001262,2020-06-01 00:55:57,49.42923,-123.31341,20.4,83.5
12,228,316001262,2020-06-01 00:57:03,49.42922,-123.30391,20.1,101.8
13,239,316001262,2020-06-01 00:58:05,49.42629,-123.29661,19.6,135.0
16,248,316001262,2020-06-01 00:59:09,49.42173,-123.29097,19.9,142.0
20,255,316001262,2020-06-01 01:00:03,49.4177,-123.28638,20.1,143.6
21,261,316001262,2020-06-01 01:01:09,49.4128,-123.28064,20.3,142.4
22,266,316001262,2020-06-01 01:02:13,49.40763,-123.27606,20.1,158.9
24,270,316001262,2020-06-01 01:03:14,49.40215,-123.27328,20.1,160.9
37,337,316001262,2020-06-01 01:04:23,49.39597,-123.27163,19.8,175.8
25,278,316001262,2020-06-01 01:05:26,49.39003,-123.27104,20.2,176.3
27,294,316001262,2020-06-01 01:06:39,49.38481,-123.27069,14.3,180.9
26,292,316001262,2020-06-01 01:07:45,49.38132,-123.27083,8.7,180.8
28,297,316001262,2020-06-01 01:08:50,49.37899,-123.27095,7.5,183.7
38,339,316001262,2020-06-01 01:09:57,49.37715,-123.27132,5.6,190.3
31,308,316001262,2020-06-01 01:11:13,49.3762,-123.27151,0.6,184.5
39,340,316001262,2020-06-01 01:12:24,49.37615,-123.27153,0.0,231.7
32,313,316001262,2020-06-01 01:13:42,49.37615,-123.27154,0.0,264.7
42,348,316001262,2020-06-01 01:15:02,49.37615,-123.27154,0.0,247.1
33,321,316001262,2020-06-01 01:16:24,49.37615,-123.27154,0.0,343.4
34,327,316001262,2020-06-01 01:17:43,49.37616,-123.27153,0.0,303.5
35,333,316001262,2020-06-01 01:19:03,49.37616,-123.27154,0.0,296.0
36,336,316001262,2020-06-01 01:20:04,49.37616,-123.27154,0.0,264.9
40,341,316001262,2020-06-01 01:21:23,49.37616,-123.27154,0.0,267.4
41,344,316001262,2020-06-01 01:22:33,49.37616,-123.27154,0.0,269.3
66,430,316001262,2020-06-01 01:23:43,49.37616,-123.27154,0.0,280.9
43,351,316001262,2020-06-01 01:25:02,49.37616,-123.27154,0.0,230.8
44,353,316001262,2020-06-01 01:26:42,49.37616,-123.27154,0.0,159.5
45,358,316001262,2020-06-01 01:28:03,49.37616,-123.27154,0.0,206.9
47,363,316001262,2020-06-01 01:29:33,49.37616,-123.27153,0.0,272.5
46,360,316001262,2020-06-01 01:30:42,49.37616,-123.27154,0.0,3.8
48,365,316001262,2020-06-01 01:31:43,49.37616,-123.27153,0.0,33.7
50,371,316001262,2020-06-01 01:33:23,49.37616,-123.27153,0.0,90.7
49,370,316001262,2020-06-01 01:34:27,49.37707,-123.27155,0.0,156.2
51,372,316001262,2020-06-01 01:35:43,49.37707,-123.27152,0.3,95.4
52,377,316001262,2020-06-01 01:37:32,49.37975,-123.27093,11.6,5.7
53,378,316001262,2020-06-01 01:38:35,49.38397,-123.27132,16.8,346.2
54,382,316001262,2020-06-01 01:39:37,49.38885,-123.27382,18.4,340.3
55,383,316001262,2020-06-01 01:40:49,49.39469,-123.27666,18.4,341.8
107,603,316001262,2020-06-01 01:42:13,49.40158,-123.2791,18.2,351.6
56,391,316001262,2020-06-01 01:43:25,49.40761,-123.28058,18.2,351.3
57,396,316001262,2020-06-01 01:44:37,49.41365,-123.28176,18.3,351.4
59,401,316001262,2020-06-01 01:45:39,49.41865,-123.28415,18.2,340.9
58,398,316001262,2020-06-01 01:46:41,49.42334,-123.28762,18.1,323.8
60,404,316001262,2020-06-01 01:47:47,49.42687,-123.29393,17.7,296.9
61,410,316001262,2020-06-01 01:48:48,49.42805,-123.30132,17.6,270.1
62,415,316001262,2020-06-01 01:49:51,49.42757,-123.30933,18.3,262.5
120,651,316001262,2020-06-01 01:51:00,49.42683,-123.31825,18.3,262.8
63,416,316001262,2020-06-01 01:52:03,49.42618,-123.32638,18.3,263.1
121,656,316001262,2020-06-01 01:53:13,49.42543,-123.33541,18.3,262.2
122,658,316001262,2020-06-01 01:54:25,49.42463,-123.34469,18.3,262.6
64,426,316001262,2020-06-01 01:55:36,49.42384,-123.35379,18.2,262.6
65,427,316001262,2020-06-01 01:56:48,49.42302,-123.36299,18.2,262.3
67,431,316001262,2020-06-01 01:57:51,49.42248,-123.37104,18.0,269.8
68,438,316001262,2020-06-01 01:59:00,49.42251,-123.37997,18.3,270.1
69,440,316001262,2020-06-01 02:00:03,49.42251,-123.38815,18.2,269.8
70,442,316001262,2020-06-01 02:00:26,49.42251,-123.39114,18.2,269.9
71,448,316001262,2020-06-01 02:01:39,49.42253,-123.40057,18.1,269.9
73,455,316001262,2020-06-01 02:02:50,49.42253,-123.40983,18.0,269.6
72,454,316001262,2020-06-01 02:04:00,49.4225,-123.41878,17.9,269.9
77,469,316001262,2020-06-01 02:05:15,49.42244,-123.42819,17.9,269.5
79,472,316001262,2020-06-01 02:06:25,49.42255,-123.43706,17.9,269.9
74,462,316001262,2020-06-01 02:07:26,49.423,-123.44479,17.3,289.6
75,464,316001262,2020-06-01 02:08:29,49.42611,-123.45057,17.6,324.2
76,467,316001262,2020-06-01 02:09:37,49.43076,-123.45574,18.5,324.7
78,470,316001262,2020-06-01 02:10:39,49.43449,-123.45977,12.5,322.8
81,480,316001262,2020-06-01 02:11:43,49.43677,-123.46375,10.1,282.4
80,473,316001262,2020-06-01 02:12:47,49.43615,-123.46782,8.1,245.8
82,522,316001262,2020-06-01 02:43:05,49.438,-123.46732,9.2,85.4
84,528,316001262,2020-06-01 02:44:08,49.4364,-123.46338,13.2,134.4
83,526,316001262,2020-06-01 02:45:13,49.43268,-123.45834,17.9,139.2
85,531,316001262,2020-06-01 02:46:19,49.42843,-123.45247,18.9,137.4
86,534,316001262,2020-06-01 02:47:21,49.42504,-123.44634,17.8,120.3
87,535,316001262,2020-06-01 02:48:25,49.42381,-123.4386,17.9,94.4
88,537,316001262,2020-06-01 02:49:31,49.42345,-123.43004,18.4,93.3
93,561,316001262,2020-06-01 02:50:42,49.42315,-123.42073,18.1,92.4
89,544,316001262,2020-06-01 02:51:49,49.42291,-123.41229,17.9,92.4
95,563,316001262,2020-06-01 02:52:54,49.42267,-123.40392,17.8,92.2
90,549,316001262,2020-06-01 02:54:01,49.42282,-123.39564,17.7,87.3
98,570,316001262,2020-06-01 02:55:07,49.42306,-123.38731,17.8,87.0
100,575,316001262,2020-06-01 02:56:13,49.42341,-123.37903,17.6,83.6
91,555,316001262,2020-06-01 02:57:19,49.42414,-123.37077,17.9,82.3
92,560,316001262,2020-06-01 02:58:25,49.42485,-123.36245,17.9,82.7
94,562,316001262,2020-06-01 02:59:43,49.42566,-123.35263,17.8,82.8
97,569,316001262,2020-06-01 03:00:07,49.42591,-123.34961,17.8,82.5
96,564,316001262,2020-06-01 03:01:19,49.42664,-123.3406,17.7,83.0
99,571,316001262,2020-06-01 03:02:25,49.4273,-123.33235,17.7,82.9
101,578,316001262,2020-06-01 03:03:31,49.42798,-123.32398,17.7,83.1
102,581,316001262,2020-06-01 03:04:32,49.42856,-123.31649,17.7,83.1
103,585,316001262,2020-06-01 03:05:34,49.429,-123.3086,17.7,90.3
104,586,316001262,2020-06-01 03:06:37,49.42755,-123.30118,17.3,118.5
105,588,316001262,2020-06-01 03:07:43,49.42413,-123.29516,17.4,138.0
169,1057,316001262,2020-06-01 03:09:01,49.41916,-123.28927,17.4,144.1
106,595,316001262,2020-06-01 03:10:07,49.41489,-123.28437,17.5,143.0
109,607,316001262,2020-06-01 03:11:19,49.41021,-123.27902,17.5,144.7
108,605,316001262,2020-06-01 03:12:37,49.40445,-123.2751,17.5,162.8
170,1064,316001262,2020-06-01 03:13:42,49.39934,-123.27277,17.4,164.7
110,614,316001262,2020-06-01 03:14:49,49.39404,-123.27187,17.4,175.8
171,1110,316001262,2020-06-01 03:15:55,49.38883,-123.27129,15.1,175.5
111,621,316001262,2020-06-01 03:17:13,49.38381,-123.27099,13.4,180.5
