MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367369550,2019-09-08T00:00:06,31.14314,-81.49662,0.0,58.5,165.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367063030,2019-09-08T00:00:13,31.12038,-81.36859,12.3,122.8,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367691290,2019-09-08T00:00:12,31.14214,-81.49644,0.1,176.5,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367305420,2019-09-08T00:00:06,31.14345,-81.49676,0.0,5.9,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
369201000,2019-09-08T00:00:07,31.15671,-81.49925,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
311828000,2019-09-08T00:00:53,31.13155,-81.49312,0.0,178.7,343.0,KUJAWY,IMO9285029,C6TX7,70.0,5.0,190.0,28.0,10.4,,A
367063030,2019-09-08T00:01:23,31.11811,-81.36472,12.2,125.0,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367753660,2019-09-08T00:00:30,31.15612,-81.49926,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
367762440,2019-09-08T00:00:47,31.15414,-81.49954,0.1,340.5,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
338335542,2019-09-08T00:00:49,31.16743,-81.41489,0.0,293.8,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367157730,2019-09-08T00:01:20,31.15826,-81.4993,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
367369550,2019-09-08T00:01:15,31.14312,-81.49663,0.0,340.0,165.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367691290,2019-09-08T00:01:21,31.14213,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
368004680,2019-09-08T00:01:26,31.16682,-81.41572,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367305420,2019-09-08T00:01:17,31.14345,-81.49676,0.0,230.7,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367569620,2019-09-08T00:01:45,31.16721,-81.4145,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
369273000,2019-09-08T00:02:14,31.1604,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367063030,2019-09-08T00:02:24,31.11614,-81.36153,12.2,125.2,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367305420,2019-09-08T00:02:28,31.14345,-81.49676,0.0,288.6,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367691290,2019-09-08T00:02:31,31.14211,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-08T00:02:35,31.14311,-81.49663,0.0,312.5,166.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367458950,2019-09-08T00:01:55,31.15703,-81.49958,0.0,360.0,511.0,WYOMING WIND,IMO0000000,WDF5063,36.0,,14.0,4.0,,,B
338184094,2019-09-08T00:01:59,31.15499,-81.49957,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
338143506,2019-09-08T00:02:59,31.15971,-81.49969,0.0,59.5,511.0,MORNING SUN II,,,37.0,,13.0,,,,B
369201000,2019-09-08T00:03:08,31.15667,-81.49925,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367753660,2019-09-08T00:03:29,31.15613,-81.49925,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
367063030,2019-09-08T00:03:34,31.11394,-81.35774,12.0,125.7,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367305420,2019-09-08T00:03:36,31.14345,-81.49677,0.0,207.9,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367094180,2019-09-08T00:02:01,31.155,-81.49942,0.0,92.5,511.0,CHICORY,,WDC8861,37.0,,14.0,4.0,,,B
338335542,2019-09-08T00:03:49,31.16744,-81.41487,0.0,293.8,511.0,STILL WATERS,IMO0000000,,37.0,,16.0,6.0,,,B
367691290,2019-09-08T00:03:42,31.14211,-81.49644,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
367369550,2019-09-08T00:03:44,31.14311,-81.49663,0.0,145.3,164.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
311828000,2019-09-08T00:03:53,31.13155,-81.49312,0.0,177.3,343.0,KUJAWY,IMO9285029,C6TX7,70.0,5.0,190.0,28.0,10.4,,A
367157730,2019-09-08T00:04:19,31.15826,-81.4993,0.0,71.3,189.0,AESTIVAL,,WBD6821,37.0,,15.0,4.0,,,B
367762440,2019-09-08T00:03:49,31.15415,-81.49954,0.1,340.5,511.0,SILVER GIRL II,,WDJ2861,37.0,,,,,,B
368004680,2019-09-08T00:04:28,31.16683,-81.41571,0.0,348.3,511.0,TAKE IT EASY,,WDJ7232,36.0,,,,,,B
367569620,2019-09-08T00:04:44,31.16721,-81.4145,0.0,161.7,511.0,PURA VIDA,,WDG7668,37.0,,14.0,,,,B
367063030,2019-09-08T00:04:42,31.11147,-81.35442,12.0,132.4,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
367369550,2019-09-08T00:04:45,31.1431,-81.49663,0.0,283.9,166.0,ANN MORAN,IMO7716983,WUW9636,31.0,0.0,32.0,9.0,3.9,52.0,A
367458950,2019-09-08T00:04:56,31.15704,-81.49957,0.0,360.0,511.0,WYOMING WIND,IMO0000000,WDF5063,36.0,,14.0,4.0,,,B
367305420,2019-09-08T00:04:46,31.14346,-81.49677,0.0,105.3,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
367094180,2019-09-08T00:05:04,31.15501,-81.49942,0.0,92.5,511.0,CHICORY,,WDC8861,37.0,,14.0,4.0,,,B
367691290,2019-09-08T00:04:52,31.14212,-81.49645,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
369273000,2019-09-08T00:05:13,31.1604,-81.49997,0.0,328.2,511.0,ESCAPE PLAN,IMO0000000,WDJ6018,36.0,,13.0,7.0,,,B
367305420,2019-09-08T00:05:47,31.14345,-81.49676,0.0,129.3,511.0,DOROTHY MORAN,IMO7716995,WXU4654,31.0,0.0,30.0,9.0,3.9,,A
338184094,2019-09-08T00:04:59,31.15499,-81.49958,0.0,115.7,511.0,DULCINEA,,,37.0,,11.0,,,,B
367063030,2019-09-08T00:05:53,31.10872,-81.35112,12.0,137.0,511.0,EMERALD PRINCESS II,IMO8993057,WDC6906,60.0,0.0,51.0,12.0,,60.0,A
369201000,2019-09-08T00:06:07,31.15671,-81.49925,0.0,14.3,511.0,SALTY VIXEN,,WDJ2910,37.0,,,,,,B
367753660,2019-09-08T00:06:30,31.1561,-81.49926,0.0,226.4,511.0,AQUAMARINE,,WDI9937,37.0,,,,,,B
367691290,2019-09-08T00:06:13,31.1421,-81.49645,0.0,360.0,511.0,MISS LEXY,IMO8719530,WDI3727,30.0,15.0,23.0,6.0,,,A
