,MMSI,BaseDateTime,LAT,LON,SOG,COG
22,338184094,2019-09-08T00:01:59,31.15499,-81.49957,0.0,115.7
45,338184094,2019-09-08T00:04:59,31.15499,-81.49958,0.0,115.7
60,338184094,2019-09-08T00:07:59,31.155,-81.49957,0.0,115.7
86,338184094,2019-09-08T00:11:00,31.155,-81.49958,0.0,115.7
108,338184094,2019-09-08T00:13:59,31.15501,-81.49957,0.0,115.7
132,338184094,2019-09-08T00:16:59,31.155,-81.49957,0.0,115.7
155,338184094,2019-09-08T00:19:59,31.155,-81.49957,0.0,115.7
175,338184094,2019-09-08T00:22:59,31.155,-81.49957,0.0,115.7
198,338184094,2019-09-08T00:25:59,31.15499,-81.49957,0.0,115.7
224,338184094,2019-09-08T00:28:59,31.15499,-81.49956,0.0,115.7
239,338184094,2019-09-08T00:31:59,31.15501,-81.49958,0.0,115.7
273,338184094,2019-09-08T00:35:01,31.15499,-81.49957,0.0,115.7
289,338184094,2019-09-08T00:37:59,31.15499,-81.49957,0.0,115.7
332,338184094,2019-09-08T00:41:01,31.15499,-81.49957,0.0,115.7
341,338184094,2019-09-08T00:44:01,31.155,-81.49958,0.0,115.7
357,338184094,2019-09-08T00:49:59,31.155,-81.49959,0.0,115.7
401,338184094,2019-09-08T00:55:59,31.155,-81.49958,0.0,115.7
404,338184094,2019-09-08T00:53:03,31.15499,-81.49958,0.0,115.7
425,338184094,2019-09-08T00:59:00,31.15499,-81.49956,0.0,115.7
469,338184094,2019-09-08T01:04:59,31.15499,-81.49957,0.0,115.7
470,338184094,2019-09-08T01:01:59,31.15501,-81.49957,0.0,115.7
494,338184094,2019-09-08T01:07:59,31.15501,-81.49958,0.0,115.7
517,338184094,2019-09-08T01:10:58,31.155,-81.49958,0.0,115.7
537,338184094,2019-09-08T01:13:59,31.15499,-81.49958,0.0,115.7
558,338184094,2019-09-08T01:16:58,31.155,-81.49957,0.0,115.7
579,338184094,2019-09-08T01:19:59,31.155,-81.49956,0.0,115.7
596,338184094,2019-09-08T01:22:59,31.155,-81.49956,0.0,115.7
642,338184094,2019-09-08T01:28:59,31.155,-81.49957,0.0,115.7
657,338184094,2019-09-08T01:31:59,31.15499,-81.49957,0.0,115.7
680,338184094,2019-09-08T01:34:59,31.155,-81.49956,0.0,115.7
706,338184094,2019-09-08T01:38:00,31.15499,-81.49958,0.0,115.7
722,338184094,2019-09-08T01:40:59,31.15499,-81.49955,0.0,115.7
735,338184094,2019-09-08T01:43:59,31.15499,-81.49957,0.0,115.7
763,338184094,2019-09-08T01:46:59,31.155,-81.49955,0.0,115.7
777,338184094,2019-09-08T01:49:58,31.155,-81.49957,0.0,115.7
806,338184094,2019-09-08T01:55:59,31.155,-81.49958,0.0,115.7
813,338184094,2019-09-08T01:53:02,31.155,-81.49958,0.0,115.7
