,Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG
0,2,367691290,2019-09-08 00:00:12,31.14214,-81.49644,0.1,176.5
1,12,367691290,2019-09-08 00:01:21,31.14213,-81.49644,0.0,360.0
2,19,367691290,2019-09-08 00:02:31,31.14211,-81.49644,0.0,360.0
3,30,367691290,2019-09-08 00:03:42,31.14211,-81.49644,0.0,360.0
4,42,367691290,2019-09-08 00:04:52,31.14212,-81.49645,0.0,360.0
5,49,367691290,2019-09-08 00:06:13,31.1421,-81.49645,0.0,360.0
6,59,367691290,2019-09-08 00:07:31,31.14211,-81.49644,0.0,360.0
7,68,367691290,2019-09-08 00:08:43,31.14212,-81.49645,0.0,360.0
8,77,367691290,2019-09-08 00:09:53,31.14213,-81.49645,0.0,360.0
9,85,367691290,2019-09-08 00:11:03,31.1421,-81.49645,0.0,360.0
10,95,367691290,2019-09-08 00:12:13,31.14213,-81.49644,0.0,360.0
14,137,367691290,2019-09-08 00:13:32,31.14213,-81.49644,0.0,360.0
11,110,367691290,2019-09-08 00:14:43,31.14212,-81.49644,0.0,360.0
12,121,367691290,2019-09-08 00:15:52,31.14213,-81.49643,0.0,360.0
13,133,367691290,2019-09-08 00:17:03,31.14214,-81.49646,0.0,360.0
15,143,367691290,2019-09-08 00:18:13,31.14212,-81.49644,0.0,360.0
16,152,367691290,2019-09-08 00:19:31,31.14212,-81.49645,0.0,360.0
19,181,367691290,2019-09-08 00:20:51,31.14209,-81.49644,0.0,360.0
17,170,367691290,2019-09-08 00:22:12,31.14209,-81.49643,0.0,360.0
18,178,367691290,2019-09-08 00:23:22,31.14211,-81.49644,0.1,179.5
20,185,367691290,2019-09-08 00:25:03,31.1421,-81.49641,0.0,360.0
21,202,367691290,2019-09-08 00:26:11,31.14211,-81.49643,0.0,360.0
22,214,367691290,2019-09-08 00:27:22,31.14212,-81.49643,0.0,360.0
23,222,367691290,2019-09-08 00:28:43,31.14213,-81.49646,0.1,184.0
24,230,367691290,2019-09-08 00:30:32,31.14212,-81.49642,0.0,360.0
25,242,367691290,2019-09-08 00:32:33,31.14214,-81.49642,0.0,360.0
26,249,367691290,2019-09-08 00:33:43,31.14212,-81.49642,0.0,360.0
27,258,367691290,2019-09-08 00:34:51,31.14212,-81.49643,0.0,360.0
28,272,367691290,2019-09-08 00:36:51,31.14211,-81.49645,0.0,360.0
29,286,367691290,2019-09-08 00:37:52,31.14211,-81.49644,0.0,360.0
30,293,367691290,2019-09-08 00:40:12,31.14211,-81.49645,0.0,360.0
32,336,367691290,2019-09-08 00:41:23,31.14211,-81.49644,0.0,360.0
31,309,367691290,2019-09-08 00:43:12,31.14211,-81.49647,0.0,360.0
33,339,367691290,2019-09-08 00:45:13,31.14214,-81.49643,0.0,360.0
34,346,367691290,2019-09-08 00:48:03,31.14209,-81.49644,0.0,360.0
35,358,367691290,2019-09-08 00:50:22,31.1421,-81.49648,0.0,360.0
36,372,367691290,2019-09-08 00:52:22,31.1421,-81.49645,0.0,360.0
37,385,367691290,2019-09-08 00:55:22,31.14211,-81.49646,0.0,360.0
38,411,367691290,2019-09-08 00:57:22,31.14213,-81.49645,0.0,360.0
39,416,367691290,2019-09-08 00:59:42,31.14213,-81.49642,0.0,360.0
40,432,367691290,2019-09-08 01:00:22,31.14211,-81.49643,0.0,360.0
41,446,367691290,2019-09-08 01:01:32,31.1421,-81.49642,0.0,360.0
42,453,367691290,2019-09-08 01:02:42,31.14211,-81.49643,0.0,360.0
44,472,367691290,2019-09-08 01:03:43,31.14211,-81.49644,0.0,360.0
43,468,367691290,2019-09-08 01:05:03,31.14212,-81.49644,0.0,360.0
45,481,367691290,2019-09-08 01:06:12,31.14211,-81.49645,0.0,360.0
46,490,367691290,2019-09-08 01:07:43,31.14212,-81.49645,0.0,360.0
47,500,367691290,2019-09-08 01:09:03,31.14213,-81.49644,0.0,360.0
49,516,367691290,2019-09-08 01:10:12,31.1421,-81.49645,0.0,360.0
48,512,367691290,2019-09-08 01:11:22,31.1421,-81.49644,0.0,360.0
50,523,367691290,2019-09-08 01:12:32,31.14214,-81.49643,0.0,360.0
51,535,367691290,2019-09-08 01:14:03,31.14211,-81.49644,0.0,360.0
52,543,367691290,2019-09-08 01:15:22,31.14213,-81.49644,0.0,360.0
53,553,367691290,2019-09-08 01:16:32,31.14214,-81.49643,0.0,360.0
54,564,367691290,2019-09-08 01:17:41,31.14214,-81.49643,0.0,360.0
55,565,367691290,2019-09-08 01:18:51,31.14214,-81.49644,0.0,360.0
56,575,367691290,2019-09-08 01:19:52,31.14213,-81.49642,0.0,360.0
57,583,367691290,2019-09-08 01:21:02,31.14213,-81.49643,0.0,360.0
58,593,367691290,2019-09-08 01:22:12,31.14213,-81.4964,0.0,360.0
59,601,367691290,2019-09-08 01:23:53,31.14212,-81.49643,0.0,360.0
60,608,367691290,2019-09-08 01:25:53,31.14211,-81.49643,0.0,360.0
61,622,367691290,2019-09-08 01:27:42,31.14214,-81.49644,0.0,360.0
